Dataset Name,"Algorithm
Name","Cross Validation
[1-10]","Hyper-
Parameters
Values",Accuracy,TPR,TNR,Precision,AUC,Curve,Time train,Time test
abalon,Random Forest,0,{'n_estimators': 314  'min_samples_split': 10  'min_samples_leaf': 4  'max_features': 'sqrt'  'max_depth': 10  'bootstrap': True},0.64354067,0.637119262,0.176904655,0.64354067,0.730107303,0.5687866,132.0740433,0.07810688
abalon,Random Forest,1,{'n_estimators': 800  'min_samples_split': 5  'min_samples_leaf': 4  'max_features': 'sqrt'  'max_depth': 54  'bootstrap': True},0.657894737,0.645585267,0.17023402,0.657894737,0.737675624,0.575774,135.7853565,0.187455177
abalon,Random Forest,2,{'n_estimators': 314  'min_samples_split': 10  'min_samples_leaf': 4  'max_features': 'sqrt'  'max_depth': 10  'bootstrap': True},0.655502392,0.650773986,0.171445835,0.655502392,0.739664075,0.5773362,134.3836911,0.078103304
abalon,Random Forest,3,{'n_estimators': 800  'min_samples_split': 5  'min_samples_leaf': 4  'max_features': 'sqrt'  'max_depth': 54  'bootstrap': True},0.633971292,0.64191652,0.183870225,0.633971292,0.729023147,0.5728541,137.6762953,0.187455416
abalon,Random Forest,4,{'n_estimators': 466  'min_samples_split': 10  'min_samples_leaf': 4  'max_features': 'sqrt'  'max_depth': 76  'bootstrap': True},0.662679426,0.660000696,0.167974393,0.662679426,0.746013152,0.575774,135.3395886,0.109348059
abalon,Random Forest,5,{'n_estimators': 314  'min_samples_split': 10  'min_samples_leaf': 4  'max_features': 'sqrt'  'max_depth': 10  'bootstrap': True},0.7456038647,0.643564778,0.177068879,0.645933014,0.73324795,0.57499427,133.3617809,0.07810688
abalon,Random Forest,6,{'n_estimators': 466  'min_samples_split': 10  'min_samples_leaf': 4  'max_features': 'sqrt'  'max_depth': 76  'bootstrap': True},0.650717703,0.645988558,0.174160902,0.650717703,0.735913828,0.57510555,136.390502,0.140593052
abalon,Random Forest,7,{'n_estimators': 800  'min_samples_split': 5  'min_samples_leaf': 4  'max_features': 'sqrt'  'max_depth': 54  'bootstrap': True},0.657074341,0.655071363,0.170979021,0.657074341,0.742046171,0.5759645,136.8095589,0.187455654
abalon,Random Forest,8,{'n_estimators': 1226  'min_samples_split': 10  'min_samples_leaf': 4  'max_features': 'sqrt'  'max_depth': 65  'bootstrap': True},0.666666667,0.663788245,0.166096112,0.666666667,0.748846066,0.57767653,140.1449618,0.265585661
abalon,Random Forest,9,{'n_estimators': 800  'min_samples_split': 5  'min_samples_leaf': 4  'max_features': 'sqrt'  'max_depth': 54  'bootstrap': True},0.669064748,0.663889539,0.16544743,0.669064748,0.749221054,0.57928514,136.5498471,0.187455654
annealing,Random Forest,0,{'n_estimators': 1378  'min_samples_split': 2  'min_samples_leaf': 1  'max_features': 'sqrt'  'max_depth': 76  'bootstrap': False},0.966666667,0.95,0.03,0.966666667,0.96,0.58450085,53.384799,0.234321594
annealing,Random Forest,1,{'n_estimators': 709  'min_samples_split': 2  'min_samples_leaf': 1  'max_features': 'auto'  'max_depth': 65  'bootstrap': False},0.955555556,0.91,0.039285714,0.955555556,0,0.58938843,52.10281444,0.140592575
annealing,Random Forest,2,{'n_estimators': 1378  'min_samples_split': 2  'min_samples_leaf': 1  'max_features': 'sqrt'  'max_depth': 76  'bootstrap': False},0.977777778,0.968530021,0.011933448,0.977777778,0.978298286,0.5946385,55.99986982,0.234319687
annealing,Random Forest,3,{'n_estimators': 1378  'min_samples_split': 2  'min_samples_leaf': 1  'max_features': 'sqrt'  'max_depth': 76  'bootstrap': False},0.944444444,0.886241868,0.03147939,0.944444444,0,0.59910315,54.30695558,0.234319448
annealing,Random Forest,4,{'n_estimators': 1043  'min_samples_split': 2  'min_samples_leaf': 1  'max_features': 'sqrt'  'max_depth': 21  'bootstrap': False},0.922222222,0.879262673,0.040977444,0.922222222,0.919142615,0.6030268,53.35916996,0.187455654
annealing,Random Forest,5,{'n_estimators': 10  'min_samples_split': 5  'min_samples_leaf': 2  'max_features': 'sqrt'  'max_depth': 87  'bootstrap': False},0.955555556,0.733333333,0.032469136,0.955555556,0.850432099,0.6075324,49.78407717,0
annealing,Random Forest,6,{'n_estimators': 1043  'min_samples_split': 2  'min_samples_leaf': 1  'max_features': 'sqrt'  'max_depth': 21  'bootstrap': False},0.966666667,0.797058824,0.020620843,0.966666667,0.88821899,0.6121607,52.56292582,0.171833038
annealing,Random Forest,7,{'n_estimators': 1043  'min_samples_split': 2  'min_samples_leaf': 1  'max_features': 'sqrt'  'max_depth': 21  'bootstrap': False},0.944444444,0.947463768,0.033424908,0.944444444,0,0.6162538,52.79278874,0.156213045
annealing,Random Forest,8,{'n_estimators': 709  'min_samples_split': 2  'min_samples_leaf': 1  'max_features': 'auto'  'max_depth': 65  'bootstrap': False},0.97752809,0.960813492,0.017647059,0.97752809,0,0.6208459,52.34824562,0.124969959
annealing,Random Forest,9,{'n_estimators': 1378  'min_samples_split': 2  'min_samples_leaf': 1  'max_features': 'sqrt'  'max_depth': 76  'bootstrap': False},0.95505618,0.845454545,0.02962963,0.95505618,0.907912458,0.6249121,54.24904585,0.23431921
arrhythmia,Random Forest,0,{'n_estimators': 405  'min_samples_split': 10  'min_samples_leaf': 1  'max_features': 'sqrt'  'max_depth': 21  'bootstrap': False},0.804347826,0.426428571,0.040317812,0.804347826,0,0.6238891,81.0373764,0.062485695
arrhythmia,Random Forest,1,{'n_estimators': 435  'min_samples_split': 10  'min_samples_leaf': 2  'max_features': 'auto'  'max_depth': 32  'bootstrap': False},0.673913043,0.564814815,0.057522251,0.673913043,0,0.6216958,80.41307092,0.07810688
arrhythmia,Random Forest,2,{'n_estimators': 405  'min_samples_split': 10  'min_samples_leaf': 1  'max_features': 'sqrt'  'max_depth': 21  'bootstrap': False},0.822222222,0.588541667,0.044642857,0.822222222,0,0.62105405,82.22989488,0.062485695
arrhythmia,Random Forest,3,{'n_estimators': 1378  'min_samples_split': 2  'min_samples_leaf': 1  'max_features': 'sqrt'  'max_depth': 76  'bootstrap': False},0.644444444,0.334415584,0.050673955,0.644444444,0,0.61880976,87.71071506,0.234320164
arrhythmia,Random Forest,4,{'n_estimators': 405  'min_samples_split': 10  'min_samples_leaf': 1  'max_features': 'sqrt'  'max_depth': 21  'bootstrap': False},0.733333333,0.622916667,0.044031385,0.733333333,0,0.61748636,81.19444084,0.062484026
arrhythmia,Random Forest,5,{'n_estimators': 405  'min_samples_split': 10  'min_samples_leaf': 1  'max_features': 'sqrt'  'max_depth': 21  'bootstrap': False},0.755555556,0.6,0.056709957,0.755555556,0,0.6164427,81.03923488,0.078103781
arrhythmia,Random Forest,6,{'n_estimators': 405  'min_samples_split': 10  'min_samples_leaf': 1  'max_features': 'sqrt'  'max_depth': 21  'bootstrap': False},0.711111111,0,0.056961787,0.711111111,0,0.61504906,82.51626253,0.078104496
arrhythmia,Random Forest,7,{'n_estimators': 405  'min_samples_split': 10  'min_samples_leaf': 1  'max_features': 'sqrt'  'max_depth': 21  'bootstrap': False},0.755555556,0.539795918,0.072760812,0.755555556,0,0.6141312,80.46307135,0.078106403
arrhythmia,Random Forest,8,{'n_estimators': 405  'min_samples_split': 10  'min_samples_leaf': 1  'max_features': 'sqrt'  'max_depth': 21  'bootstrap': False},0.777777778,0.5,0.057073643,0.777777778,0,0.613474,80.53323412,0.078109741
arrhythmia,Random Forest,9,{'n_estimators': 1043  'min_samples_split': 2  'min_samples_leaf': 1  'max_features': 'sqrt'  'max_depth': 21  'bootstrap': False},0.777777778,0.647435897,0.035177451,0.777777778,0,0.6128661,88.53391123,0.187469721
audiology-std,Random Forest,0,{'n_estimators': 1043  'min_samples_split': 2  'min_samples_leaf': 1  'max_features': 'sqrt'  'max_depth': 21  'bootstrap': False},0.7,0,0.044454657,0.7,0,0.6119977,50.26615357,0.187457561
audiology-std,Random Forest,1,{'n_estimators': 1378  'min_samples_split': 2  'min_samples_leaf': 1  'max_features': 'sqrt'  'max_depth': 76  'bootstrap': False},0.9,0.9125,0.016995614,0.9,0,0.611966,50.44930077,0.218697786
audiology-std,Random Forest,2,{'n_estimators': 405  'min_samples_split': 10  'min_samples_leaf': 1  'max_features': 'sqrt'  'max_depth': 21  'bootstrap': False},0.75,0,0.019860549,0.75,0,0.61134076,44.04690433,0.062487602
audiology-std,Random Forest,3,{'n_estimators': 1043  'min_samples_split': 2  'min_samples_leaf': 1  'max_features': 'sqrt'  'max_depth': 21  'bootstrap': False},0.9,0,0.0125,0.9,0,0.61134475,45.10214615,0.187455177
audiology-std,Random Forest,4,{'n_estimators': 405  'min_samples_split': 10  'min_samples_leaf': 1  'max_features': 'sqrt'  'max_depth': 21  'bootstrap': False},1,1,0,1,0,0.611772,45.50973487,0.078106642
audiology-std,Random Forest,5,{'n_estimators': 405  'min_samples_split': 10  'min_samples_leaf': 1  'max_features': 'sqrt'  'max_depth': 21  'bootstrap': False},0.65,0,0.054463438,0.65,0,0.61079156,57.93746853,0.093727827
audiology-std,Random Forest,6,{'n_estimators': 405  'min_samples_split': 10  'min_samples_leaf': 1  'max_features': 'sqrt'  'max_depth': 21  'bootstrap': False},0.789473684,0,0.027893809,0.789473684,0,0.61041415,43.67061329,0.093728542
audiology-std,Random Forest,7,{'n_estimators': 405  'min_samples_split': 10  'min_samples_leaf': 1  'max_features': 'sqrt'  'max_depth': 21  'bootstrap': False},0.526315789,0,0.040726628,0.526315789,0,0.60903835,44.88419366,0.062483311
audiology-std,Random Forest,8,{'n_estimators': 1043  'min_samples_split': 2  'min_samples_leaf': 1  'max_features': 'sqrt'  'max_depth': 21  'bootstrap': False},0.789473684,0,0.029898966,0.789473684,0,0.6086895,47.35350704,0.156213284
audiology-std,Random Forest,9,{'n_estimators': 1043  'min_samples_split': 2  'min_samples_leaf': 1  'max_features': 'sqrt'  'max_depth': 21  'bootstrap': False},0.894736842,0,0.011695906,0.894736842,0,0.60875714,44.51192522,0.187456608
autos,Random Forest,0,{'n_estimators': 800  'min_samples_split': 5  'min_samples_leaf': 4  'max_features': 'sqrt'  'max_depth': 54  'bootstrap': True},0.714285714,0.721428571,0.071802054,0.714285714,0,0.6086894,45.02647901,0.109348297
autos,Random Forest,1,{'n_estimators': 1378  'min_samples_split': 2  'min_samples_leaf': 1  'max_features': 'sqrt'  'max_depth': 76  'bootstrap': False},0.857142857,0.925,0.034055728,0.857142857,0,0.6092238,47.44201565,0.203076124
autos,Random Forest,2,{'n_estimators': 10  'min_samples_split': 5  'min_samples_leaf': 2  'max_features': 'sqrt'  'max_depth': 87  'bootstrap': False},0.666666667,0.766666667,0.081578947,0.666666667,0,0.60895526,44.81097174,0
autos,Random Forest,3,{'n_estimators': 1226  'min_samples_split': 10  'min_samples_leaf': 4  'max_features': 'sqrt'  'max_depth': 65  'bootstrap': True},0.476190476,0.54047619,0.136321195,0.476190476,0,0.60789263,46.91962504,0.171835423
autos,Random Forest,4,{'n_estimators': 314  'min_samples_split': 10  'min_samples_leaf': 4  'max_features': 'sqrt'  'max_depth': 10  'bootstrap': True},0.80952381,0.7,0.054285714,0.80952381,0,0.60822594,44.75620341,0.046864271
autos,Random Forest,5,{'n_estimators': 10  'min_samples_split': 5  'min_samples_leaf': 2  'max_features': 'sqrt'  'max_depth': 87  'bootstrap': False},0.65,0.480952381,0.090013495,0.65,0,0.60791075,45.23520041,0.015622139
autos,Random Forest,6,{'n_estimators': 10  'min_samples_split': 5  'min_samples_leaf': 2  'max_features': 'sqrt'  'max_depth': 87  'bootstrap': False},0.75,0.651428571,0.064273504,0.75,0,0.60799176,43.12137699,0.015619516
autos,Random Forest,7,{'n_estimators': 1226  'min_samples_split': 10  'min_samples_leaf': 4  'max_features': 'sqrt'  'max_depth': 65  'bootstrap': True},0.85,0.666666667,0.028935185,0.85,0.818865741,0.60846525,46.88964653,0.186480999
autos,Random Forest,8,{'n_estimators': 709  'min_samples_split': 2  'min_samples_leaf': 1  'max_features': 'auto'  'max_depth': 65  'bootstrap': False},0.8,0.8,0.055238095,0.8,0,0.6087402,45.41230583,0.109354734
autos,Random Forest,9,{'n_estimators': 709  'min_samples_split': 2  'min_samples_leaf': 1  'max_features': 'auto'  'max_depth': 65  'bootstrap': False},0.9,0.938095238,0.025396825,0.9,0,0.6094045,44.37501431,0.109350443
balance-scale,Random Forest,0,{'n_estimators': 800  'min_samples_split': 5  'min_samples_leaf': 4  'max_features': 'sqrt'  'max_depth': 54  'bootstrap': True},0.857142857,0.620689655,0.088235294,0.857142857,0.766227181,0.6113812,46.68080401,0.124971151
balance-scale,Random Forest,1,{'n_estimators': 800  'min_samples_split': 5  'min_samples_leaf': 4  'max_features': 'sqrt'  'max_depth': 54  'bootstrap': True},0.936507937,0.65625,0.041781874,0.936507937,0.807234063,0.61427915,46.77022004,0.124971151
balance-scale,Random Forest,2,{'n_estimators': 314  'min_samples_split': 10  'min_samples_leaf': 4  'max_features': 'sqrt'  'max_depth': 10  'bootstrap': True},0.888888889,0.666666667,0.065247065,0.888888889,0.800709801,0.61655176,44.35403872,0.079593182
balance-scale,Random Forest,3,{'n_estimators': 800  'min_samples_split': 5  'min_samples_leaf': 4  'max_features': 'sqrt'  'max_depth': 54  'bootstrap': True},0.904761905,0.643529412,0.058076225,0.904761905,0.792726593,0.61897,45.97483087,0.124970675
balance-scale,Random Forest,4,{'n_estimators': 466  'min_samples_split': 10  'min_samples_leaf': 4  'max_features': 'sqrt'  'max_depth': 76  'bootstrap': True},0.888888889,0.655555556,0.068181818,0.888888889,0.793686869,0.6211561,45.81437445,0.09372592
balance-scale,Random Forest,5,{'n_estimators': 314  'min_samples_split': 10  'min_samples_leaf': 4  'max_features': 'sqrt'  'max_depth': 10  'bootstrap': True},0.951612903,0.641975309,0.035714286,0.951612903,0.803130511,0.62399,44.96144724,0.046863079
balance-scale,Random Forest,6,{'n_estimators': 800  'min_samples_split': 5  'min_samples_leaf': 4  'max_features': 'sqrt'  'max_depth': 54  'bootstrap': True},0.887096774,0.632815611,0.069124424,0.887096774,0.781845594,0.62603676,45.95554113,0.140592337
balance-scale,Random Forest,7,{'n_estimators': 314  'min_samples_split': 10  'min_samples_leaf': 4  'max_features': 'sqrt'  'max_depth': 10  'bootstrap': True},0.774193548,0.589962121,0.133333333,0.774193548,0.728314394,0.6267686,45.46765327,0.06248641
balance-scale,Random Forest,8,{'n_estimators': 1226  'min_samples_split': 10  'min_samples_leaf': 4  'max_features': 'sqrt'  'max_depth': 65  'bootstrap': True},0.903225806,0.642973856,0.068295739,0.903225806,0.787339058,0.6289341,47.37875485,0.249941111
balance-scale,Random Forest,9,{'n_estimators': 314  'min_samples_split': 10  'min_samples_leaf': 4  'max_features': 'sqrt'  'max_depth': 10  'bootstrap': True},0.838709677,0.631185808,0.092624855,0.838709677,0.769280476,0.63034356,44.84162164,0.062485933
baseball,Random Forest,0,{'n_estimators': 435  'min_samples_split': 10  'min_samples_leaf': 2  'max_features': 'auto'  'max_depth': 32  'bootstrap': False},0.925373134,0.638888889,0.174583979,0.925373134,0.732152455,0.63535184,76.48641562,0.078107834
baseball,Random Forest,1,{'n_estimators': 709  'min_samples_split': 2  'min_samples_leaf': 1  'max_features': 'auto'  'max_depth': 65  'bootstrap': False},0.962686567,0.835760199,0.059094551,0.962686567,0.888332824,0.6410473,77.83080435,0.140592813
baseball,Random Forest,2,{'n_estimators': 1378  'min_samples_split': 2  'min_samples_leaf': 1  'max_features': 'sqrt'  'max_depth': 76  'bootstrap': False},0.947761194,0.577777778,0.156723485,0.947761194,0.710527146,0.6462015,79.37185121,0.265563488
baseball,Random Forest,3,{'n_estimators': 709  'min_samples_split': 2  'min_samples_leaf': 1  'max_features': 'auto'  'max_depth': 65  'bootstrap': False},0.955223881,0.719489982,0.040798611,0.955223881,0.839345685,0.6513455,76.76434755,0.124969244
baseball,Random Forest,4,{'n_estimators': 405  'min_samples_split': 10  'min_samples_leaf': 1  'max_features': 'sqrt'  'max_depth': 21  'bootstrap': False},0.902985075,0.51547619,0.161229846,0.902985075,0.677123172,0.6551532,75.23738146,0.078106165
baseball,Random Forest,5,{'n_estimators': 435  'min_samples_split': 10  'min_samples_leaf': 2  'max_features': 'auto'  'max_depth': 32  'bootstrap': False},0.955223881,0.792063492,0.132633588,0.955223881,0.829714952,0.6599732,76.24502444,0.07810545
baseball,Random Forest,6,{'n_estimators': 314  'min_samples_split': 10  'min_samples_leaf': 4  'max_features': 'sqrt'  'max_depth': 10  'bootstrap': True},0.902985075,0.527731092,0.210544303,0.902985075,0.658593395,0.66350806,76.36321831,0.062485695
baseball,Random Forest,7,{'n_estimators': 1043  'min_samples_split': 2  'min_samples_leaf': 1  'max_features': 'sqrt'  'max_depth': 21  'bootstrap': False},0.955223881,0.444444444,0.240659341,0.955223881,0.601892552,0.66803426,79.8178072,0.218700409
baseball,Random Forest,8,{'n_estimators': 800  'min_samples_split': 5  'min_samples_leaf': 4  'max_features': 'sqrt'  'max_depth': 54  'bootstrap': True},0.917910448,0.563312707,0.192833333,0.917910448,0.685239687,0.671635,76.92217565,0.124970436
baseball,Random Forest,9,{'n_estimators': 1226  'min_samples_split': 10  'min_samples_leaf': 4  'max_features': 'sqrt'  'max_depth': 65  'bootstrap': True},0.910447761,0.515056022,0.227492397,0.910447761,0.643781813,0.6749664,78.05110884,0.187456608
car,Random Forest,0,{'n_estimators': 1043  'min_samples_split': 2  'min_samples_leaf': 1  'max_features': 'sqrt'  'max_depth': 21  'bootstrap': False},0.988439306,0.928571429,0.003521127,0.988439306,0.962525151,0.6808665,52.52459121,0.175590992
car,Random Forest,1,{'n_estimators': 1043  'min_samples_split': 2  'min_samples_leaf': 1  'max_features': 'sqrt'  'max_depth': 21  'bootstrap': False},0.976878613,0.954123935,0.006468531,0.976878613,0.973827702,0.6862498,51.50273085,0.234318733
car,Random Forest,2,{'n_estimators': 1378  'min_samples_split': 2  'min_samples_leaf': 1  'max_features': 'sqrt'  'max_depth': 76  'bootstrap': False},0.994219653,0.994318182,0.001515152,0.994219653,0.996401515,0.69187516,52.55478001,0.249939203
car,Random Forest,3,{'n_estimators': 709  'min_samples_split': 2  'min_samples_leaf': 1  'max_features': 'auto'  'max_depth': 65  'bootstrap': False},0.988439306,0.867647059,0.007612515,0.988439306,0.930017272,0.69715524,51.73260856,0.124971628
car,Random Forest,4,{'n_estimators': 709  'min_samples_split': 2  'min_samples_leaf': 1  'max_features': 'auto'  'max_depth': 65  'bootstrap': False},0.976878613,0.954471545,0.006367671,0.976878613,0.974051937,0.701965,51.74077535,0.124970675
car,Random Forest,5,{'n_estimators': 709  'min_samples_split': 2  'min_samples_leaf': 1  'max_features': 'auto'  'max_depth': 65  'bootstrap': False},0.988439306,0.988095238,0.002958994,0.988439306,0.992568122,0.7068867,51.96006346,0.12497139
car,Random Forest,6,{'n_estimators': 800  'min_samples_split': 5  'min_samples_leaf': 4  'max_features': 'sqrt'  'max_depth': 54  'bootstrap': True},0.953757225,0.821789322,0.013986014,0.953757225,0.903901654,0.7108138,51.61880159,0.140590906
car,Random Forest,7,{'n_estimators': 1378  'min_samples_split': 2  'min_samples_leaf': 1  'max_features': 'sqrt'  'max_depth': 76  'bootstrap': False},0.98265896,0.955929487,0.007650805,0.98265896,0.974139341,0.7152847,52.2763896,0.265560389
car,Random Forest,8,{'n_estimators': 1043  'min_samples_split': 2  'min_samples_leaf': 1  'max_features': 'sqrt'  'max_depth': 21  'bootstrap': False},0.98255814,0.993644068,0.005725191,0.98255814,0.993959438,0.7195806,51.83578014,0.187453985
car,Random Forest,9,{'n_estimators': 1043  'min_samples_split': 2  'min_samples_leaf': 1  'max_features': 'sqrt'  'max_depth': 21  'bootstrap': False},0.970930233,0.933723843,0.011983083,0.970930233,0.96087038,0.7234737,52.23938727,0.187455177
cardiotocography-3clases,Random Forest,0,{'n_estimators': 314  'min_samples_split': 10  'min_samples_leaf': 4  'max_features': 'sqrt'  'max_depth': 10  'bootstrap': True},0.901408451,0.747385621,0.103052736,0.901408451,0.822166443,0.72645754,81.19105029,0.062484741
cardiotocography-3clases,Random Forest,1,{'n_estimators': 314  'min_samples_split': 10  'min_samples_leaf': 4  'max_features': 'sqrt'  'max_depth': 10  'bootstrap': True},0.906103286,0.823791423,0.087691978,0.906103286,0.868049723,0.7294447,80.22289014,0.06248641
cardiotocography-3clases,Random Forest,2,{'n_estimators': 466  'min_samples_split': 10  'min_samples_leaf': 4  'max_features': 'sqrt'  'max_depth': 76  'bootstrap': True},0.953051643,0.848970252,0.073182957,0.953051643,0.887893647,0.7335523,83.47581029,0.078105211
cardiotocography-3clases,Random Forest,3,{'n_estimators': 466  'min_samples_split': 10  'min_samples_leaf': 4  'max_features': 'sqrt'  'max_depth': 76  'bootstrap': True},0.943661972,0.87945489,0.062750741,0.943661972,0.908352075,0.73725605,84.49889874,0.093729734
cardiotocography-3clases,Random Forest,4,{'n_estimators': 1226  'min_samples_split': 10  'min_samples_leaf': 4  'max_features': 'sqrt'  'max_depth': 65  'bootstrap': True},0.948356808,0.916300277,0.058049352,0.948356808,0.929125462,0.74093735,85.43133664,0.218698025
cardiotocography-3clases,Random Forest,5,{'n_estimators': 466  'min_samples_split': 10  'min_samples_leaf': 4  'max_features': 'sqrt'  'max_depth': 76  'bootstrap': True},0.924882629,0.838383838,0.090740741,0.924882629,0.873821549,0.7438923,82.71156526,0.078106642
cardiotocography-3clases,Random Forest,6,{'n_estimators': 314  'min_samples_split': 10  'min_samples_leaf': 4  'max_features': 'sqrt'  'max_depth': 10  'bootstrap': True},0.91509434,0.764609053,0.086058455,0.91509434,0.839275299,0.7464843,81.80047917,0.062484264
cardiotocography-3clases,Random Forest,7,{'n_estimators': 800  'min_samples_split': 5  'min_samples_leaf': 4  'max_features': 'sqrt'  'max_depth': 54  'bootstrap': True},0.962264151,0.903368269,0.046091901,0.962264151,0.928638184,0.75011617,84.33138013,0.142838717
cardiotocography-3clases,Random Forest,8,{'n_estimators': 1226  'min_samples_split': 10  'min_samples_leaf': 4  'max_features': 'sqrt'  'max_depth': 65  'bootstrap': True},0.938679245,0.881857621,0.074873264,0.938679245,0.903492178,0.7530617,85.08285689,0.218703032
cardiotocography-3clases,Random Forest,9,{'n_estimators': 1226  'min_samples_split': 10  'min_samples_leaf': 4  'max_features': 'sqrt'  'max_depth': 65  'bootstrap': True},0.938679245,0.859128411,0.068339699,0.938679245,0.895394356,0.75590414,85.99710774,0.28118372
cardiotocography-10clases,Random Forest,0,{'n_estimators': 466  'min_samples_split': 10  'min_samples_leaf': 4  'max_features': 'sqrt'  'max_depth': 76  'bootstrap': True},0.849765258,0.743163781,0.018770699,0.849765258,0.862196541,0.7552439,97.1004045,0.09372735
cardiotocography-10clases,Random Forest,1,{'n_estimators': 800  'min_samples_split': 5  'min_samples_leaf': 4  'max_features': 'sqrt'  'max_depth': 54  'bootstrap': True},0.854460094,0.756838824,0.018058035,0.854460094,0.869390394,0.75476193,97.74666476,0.17183876
cardiotocography-10clases,Random Forest,2,{'n_estimators': 1226  'min_samples_split': 10  'min_samples_leaf': 4  'max_features': 'sqrt'  'max_depth': 65  'bootstrap': True},0.887323944,0.819915079,0.015170227,0.887323944,0,0.7550794,100.3473029,0.234319448
cardiotocography-10clases,Random Forest,3,{'n_estimators': 800  'min_samples_split': 5  'min_samples_leaf': 4  'max_features': 'sqrt'  'max_depth': 54  'bootstrap': True},0.85915493,0.775433863,0.017579515,0.85915493,0.878927174,0.7548045,97.9177382,0.171832561
cardiotocography-10clases,Random Forest,4,{'n_estimators': 800  'min_samples_split': 5  'min_samples_leaf': 4  'max_features': 'sqrt'  'max_depth': 54  'bootstrap': True},0.887323944,0.81387969,0.013851794,0.887323944,0.900013948,0.75519174,98.5350709,0.156212807
cardiotocography-10clases,Random Forest,5,{'n_estimators': 800  'min_samples_split': 5  'min_samples_leaf': 4  'max_features': 'sqrt'  'max_depth': 54  'bootstrap': True},0.840375587,0.761863982,0.019576514,0.840375587,0.871143734,0.75458336,97.58717132,0.171833038
cardiotocography-10clases,Random Forest,6,{'n_estimators': 800  'min_samples_split': 5  'min_samples_leaf': 4  'max_features': 'sqrt'  'max_depth': 54  'bootstrap': True},0.867924528,0.805814394,0.015947144,0.867924528,0.894933625,0.7546087,99.10417485,0.156211138
cardiotocography-10clases,Random Forest,7,{'n_estimators': 314  'min_samples_split': 10  'min_samples_leaf': 4  'max_features': 'sqrt'  'max_depth': 10  'bootstrap': True},0.858490566,0.817791024,0.016674217,0.858490566,0.900558403,0.75446004,96.8083725,0.062485218
